_id,industries
eDZUmYJp8BpeWWhHS6LK5A_0000,"[{""name"":""hospital & health care"",""is_primary"":true}]"
QT7crNw8R8YJ0B8VIZNjKQ_0000,"[{""name"":""public relations and communications"",""is_primary"":true}]"
pnYsHGV9641VEUhcgzuumA_0000,"[{""name"":""pharmaceuticals"",""is_primary"":true}]"
9r6xOpfE-pfpsx8OMVKc0A_0000,"[{""name"":""entertainment"",""is_primary"":true}]"
RPfXdOrWpPsRcsbg2xZOdA_0000,"[{""name"":""information technology and services"",""is_primary"":true}]"
PMAIkITsRkRzfBj2Plowbg_0000,[]
HxF6VV4c7Zr1GVNBBRme4Q_0000,"[{""name"":""wine and spirits"",""is_primary"":true}]"
HzgRA7ziivGp0LGhnripeg_0000,"[{""name"":""computer hardware"",""is_primary"":true}]"
2SLW6D6spsmHDO-BO0YWdg_0000,[]
Bg8z4k2NYwa8m4yBXpLdhQ_0000,"[{""name"":""individual & family services"",""is_primary"":true}]"
GYqyMPgusC5Xz74sOr2UNQ_0000,"[{""name"":""online media"",""is_primary"":true}]"
6-BM26usQXEl4PUQ7ziBFg_0000,[]
dLerGu2DVFrTxbwHTWV2Og_0000,"[{""name"":""writing and editing"",""is_primary"":true}]"
SpN3IXR-inCfxaMxBBRydA_0000,"[{""name"":""architecture & planning"",""is_primary"":true}]"
OzIhMdGex7SS9OlwoW9yvQ_0000,"[{""name"":""financial services"",""is_primary"":true}]"
pXex-gipIe9pEdZ2BOVcYg_0000,"[{""name"":""insurance"",""is_primary"":true}]"
1Kutw76CB3g8c7fUc5xELg_0000,[]
smaGpN9kV4kwzjPzPvDgiQ_0000,"[{""name"":""marketing and advertising"",""is_primary"":true}]"
1ZBvU4uBFSBuVpqDm0iWhw_0000,"[{""name"":""entertainment"",""is_primary"":true}]"
VP0DeWmBEMichJkkcCOzhA_0000,"[{""name"":""photography"",""is_primary"":true}]"
9esBR59aYhTeyseQVAYZ5A_0000,"[{""name"":""writing and editing"",""is_primary"":true}]"
lmfBLYNhUWu4H0q-W906wQ_0000,"[{""name"":""architecture & planning"",""is_primary"":true}]"
vtpa9ZZSPcSbD4m-SfTvPg_0000,"[{""name"":""public policy"",""is_primary"":true}]"
zXcSG2Mxl1yqipwech2HJA_0000,"[{""name"":""legal services"",""is_primary"":true}]"
8ra8aWpmhjI2uEgzJ839vA_0000,[]
YJJ7wW3uIgO17hqzB7H8Mw_0000,"[{""name"":""management consulting"",""is_primary"":true}]"
6SIFiOv5AXHmczBkcrkPQw_0000,[]
SNzQp0wQrGcL7CbjQymb0w_0000,"[{""name"":""insurance"",""is_primary"":true}]"
Rb6QwaQstnaQWfZZYUbG3g_0000,[]
m9aw6Q6w8QkVmudtimOAOQ_0000,"[{""name"":""computer software"",""is_primary"":true}]"
DbvTdffLZb0p-SbstF3Qpg_0000,"[{""name"":""writing and editing"",""is_primary"":true}]"
9MSkeCDSwLbzj6IH0BA6Cw_0000,"[{""name"":""veterinary"",""is_primary"":true}]"
aw0RmetFS4H8DMilyhGeBA_0000,"[{""name"":""luxury goods & jewelry"",""is_primary"":true}]"
dq6CpzWhAqB5OQSmFjLHuw_0000,"[{""name"":""health, wellness and fitness"",""is_primary"":true}]"
h0JdZeRBWHfJT3Eayfay6w_0000,"[{""name"":""defense & space"",""is_primary"":true}]"
rJEvIBs1u43pPVUubmveKA_0000,"[{""name"":""design"",""is_primary"":true}]"
3seBwsA71xxQvenRZJEcYA_0000,[]
dGjyMwr2Ghy38MWUvkwBIg_0000,"[{""name"":""internet"",""is_primary"":true}]"
RZaMHMyaKohxV3uYTcs4YA_0000,"[{""name"":""education management"",""is_primary"":true}]"
AcEnsmXQvR7aUuEBX68tIQ_0000,"[{""name"":""information technology and services"",""is_primary"":true}]"
aiKnAAMnS77FFP8TNt6JHw_0000,"[{""name"":""entertainment"",""is_primary"":true}]"
'-CifNkBbc6j-XMdlMyWLlg_0000,[]
ZdZHf0DJoNkXBnfvYdkTaw_0000,"[{""name"":""marketing and advertising"",""is_primary"":true}]"
s0BYqe6-jARcxJoIDBjp8g_0000,"[{""name"":""financial services"",""is_primary"":true}]"
49EYV2jUrDBK01RQBFUOHA_0000,"[{""name"":""education management"",""is_primary"":true}]"
AbfTwiu6-8NdrOdCzIXhsQ_0000,"[{""name"":""pharmaceuticals"",""is_primary"":true}]"
'-qyWyDziRD61QRFH5zIXyQ_0000,[]
x805eoKvj0n57BAeyomH2w_0000,"[{""name"":""printing"",""is_primary"":true}]"
kly-I0bN0amVl1Cmrx3Wew_0000,"[{""name"":""banking"",""is_primary"":true}]"
QGI5UNZgTJoFc53GE59O2w_0000,"[{""name"":""public policy"",""is_primary"":true}]"
LyPVAK0VMeGv-YtwWy987Q_0000,"[{""name"":""museums and institutions"",""is_primary"":true}]"
1edmDlfnBRI0yfZgur5Rbg_0000,"[{""name"":""retail"",""is_primary"":true}]"
5zCT1GzuIUkqPl51ZrloDg_0000,[]
